"cause","effect"
"ANXA7","RBBP4"
"ANXA7","TAF5L"
"ANXA7","UBE2D1"
"ANXA7","USP4"
"ANXA7","VIM"
"AP1B1","AP1G1"
"AP1B1","ATM"
"AP1B1","KIF13A"
"AP1G1","RABGEF1"
"AP1M1","AP2B1"
"AP1M1","DVL2"
"AP1M1","EHD2"
"AP1M1","GAK"
"AP1M1","LAMP1"
"AP1M1","LDOC1"
"AP1M1","RUNDC3A"
"AP1M1","VAMP4"
"AP1M2","AP1B1"
"AP1M2","AP1M1"
"AP1M2","AP2B1"
"AP1M2","GAK"
"AP1M2","TGOLN2"
"AP1S2","AP1G2"
"AP2A1","BIN1"
"AP2A1","CLINT1"
"AP2A1","EPN1"
"AP2A1","EPS15"
"AP2A1","PICALM"
"AP2A1","RIT1"
"AP2A1","SYT3"
"AP2B1","HIP1"
"AP2B1","NECAP2"
"AP2B1","NUP54"
"AP2B1","TUBGCP4"
"AP2M1","GAK"
"AP2M1","MEGF10"
"AP2M1","RTDR1"
"AP2M1","TBC1D5"
"AP3B1","ARF1"
"AP3B1","CSNK1A1"
"AP3B1","XPOT"
"AP3B2","CLTC"
"AP4M1","GRID2"
"APAF1","BCL2L1"
"APAF1","CYCS"
"APAF1","HSPA1A"
"APBA1","APP"
"APBA1","CCS"
"APBA1","KIF17"
"APBA1","PSEN1"
"APBA1","STX1A"
"APBA2","STXBP1"
"APBA3","BCR"
"APBB1","APLP1"
"APBB1IP","PFN1"
"APBB1IP","VASP"
"APBB3","APLP2"
"APC","CTBP1"
"APCS","C1QA"
"APCS","COL4A1"
"APCS","GOT2"
"APCS","TG"
"APEH","TMEM62"
"APEX1","ANP32A"
"APEX1","EP300"
"APEX1","HDAC1"
"APEX1","HMGB2"
"APEX1","PCNA"
"APEX1","SET"
"APEX2","EFEMP2"
"APEX2","TRIM37"
"APLP1","CDK4"
"APLP1","CDKN1A"
"APLP1","CDKN2C"
"APLP1","ING5"
"APLP1","NACA"
"APLP1","SETDB1"
"APOA1","ABCA1"
"APOA1","ATP5B"
"APOA1","MAP7D1"
"APOA1","PCMT1"
"APOA1BP","MAPK6"
"APOA2","APOD"
"APOB","HSP90B1"
"APOB","HSPA8"
"APOB","PPIB"
"APOB","SEC61B"
"APOE","CTSB"
"APOE","LRP1"
"APOE","MAPT"
"APOE","PLTP"
"APP","ABL1"
"APP","APBA3"
"APP","APBB1"
"APP","BACE1"
"APP","BGN"
"APP","BLMH"
"APP","CASP6"
"APP","CAV1"
"APP","COL4A2"
"APP","EPB41"
"APP","FLOT1"
"APP","GRB2"
"APP","GSN"
"APP","IDE"
"APP","KLC1"
"APP","NAE1"
"APP","NID1"
"APP","NUMB"
"APP","NUMBL"
"APP","PSEN1"
"APP","PSEN2"
"APP","SERPINA3"
"APP","SNCA"
"APP","TP53BP2"
"APPBP2","CHMP5"
"APPBP2","EID3"
"APPL1","AKT1"
"APPL1","AKT2"
"APPL1","PIK3CA"
"APTX","CALCOCO1"
"APTX","XRCC4"
"AQP1","CCDC85B"
"AQP1","EFEMP2"
"AQP1","TRIP6"
"AR","AES"
"AR","CDK7"
"AR","EP300"
"AR","GTF2H1"
"AR","HDAC1"
"AR","NCOA4"
"AR","NCOR2"
"AR","NFKB1"
"AR","NR0B1"
"AR","NRIP1"
"AR","PIAS3"
"AR","PIAS4"
"AR","PNRC2"
"AR","POU5F1"
"AR","RB1"
"AR","RELA"
"AR","RNF4"
"AR","RUNX2"
"AR","SART3"
"AR","SMAD3"
"AR","SUMO1"
"AR","TCF4"
"AR","TMF1"
"AR","TRIM24"
"AR","TRIP4"
"AR","UBE3A"
"ARAF","YWHAG"
"ARAP1","XRCC6"
"ARF1","AP1B1"
"ARF1","AP1G1"
"ARF1","ARFIP1"
"ARF1","ARHGAP21"
"ARF1","COPE"
"ARF1","CYTH2"
"ARF1","GOSR2"
"ARF1","MDM4"
"ARF1","NPM1"
"ARF1","PICK1"
"ARF1","PLD1"
"ARF1","RALA"
"ARF1","TMED2"
"ARFGAP1","CSNK1D"
"ARFGEF1","MAP2K5"
"ARFGEF2","ARFGEF1"
"ARHGAP1","BNIP2"
"ARHGAP1","HMGCR"
"ARHGAP1","RASA1"
"ARHGAP1","RHOA"
"ARHGAP1","RHOC"
"ARHGAP1","SRC"
"ARHGAP1","WAS"
"ARHGAP15","SMURF1"
"ARHGAP15","TGFBR1"
"ARHGAP5","RASA1"
"ARHGAP9","RBPMS"
"ARHGDIA","CBX5"
"ARHGDIA","TRIM13"
"ARHGDIB","EZR"
"ARHGDIB","RAC2"
"ARHGDIB","RHOA"
"ARHGDIB","RHOH"
"ARHGDIB","UFM1"
"ARHGDIB","VAV1"
"ARHGEF1","CSNK1E"
"ARHGEF1","IVNS1ABP"
"ARHGEF1","TRIM8"
"ARHGEF11","GNA13"
"ARHGEF12","GNA12"
"ARHGEF15","C11orf49"
"ARHGEF2","PAK1"
"ARHGEF2","RRAS2"
"ARHGEF6","PAK1"
"ARHGEF6","PAK3"
"ARHGEF6","PARVB"
"ARHGEF6","TMEM108"
"ARHGEF7","ARHGEF6"
"ARHGEF7","GIT1"
"ARHGEF7","GIT2"
"ARHGEF7","PPM1F"
"ARID1A","MLLT1"
"ARID3A","E2F1"
"ARID3A","E2F2"
"ARID3A","UBE2E3"
"ARID4A","HDAC2"
"ARIH2","CBR3"
"ARL15","CCDC90B"
"ARL15","UBR1"
"ARL15","UNC119"
"ARL2","UNC119"
"ARL3","TLE1"
"ARL4D","EML4"
"ARL6IP1","FXR2"
"ARL8B","ATP5J2"
"ARMCX3","CLTC"
"ARNT","ARNT2"
"ARNT","EPAS1"
"ARNT","HIF1A"
"ARNT","SIM1"
"ARNT","SIM2"
"ARNT2","ARNT"
"ARNTL","BHLHE40"
"ARNTL","CSNK1E"
"ARNTL","HIF1A"
"ARNTL","HLF"
"ARNTL","NPAS2"
"ARPC1B","ACTB"
"ARPC1B","PAK1"
"ARPC3","CDKN2B"
"ARPC3","EFTUD2"
"ARPC3","LTA4H"
"ARPC3","MAPK6"
"ARPC4","ARPC3"
"ARPC4","RNF130"
"ARPC5","MAPKAPK2"
"ARR3","DVL2"
"ARR3","FSHR"
"ARRB1","AP1B1"
"ARRB1","BMPR2"
"ARRB1","CHUK"
"ARRB1","CSK"
"ARRB1","HAX1"
"ARRB1","HCK"
"ARRB1","MAPK1"
"ARRB1","MDM2"
"ARRB1","PTHLH"
"ARRB1","SET"
"ARRB1","SIPA1"
"ARRB2","AIP"
"ARRB2","AP1B1"
"ARRB2","CHUK"
"ARRB2","CSNK2A2"
"ARRB2","DVL2"
"ARRB2","FLNA"
"ARRB2","PDE4D"
"ARRB2","RAF1"
"ARRB2","YAF2"
"ASB13","TRIP13"
"ASCC2","GTF3C1"
"ASCC2","TRIP4"
"ASCL1","NEUROG2"
"ASGR1","DHFR"
"ASGR1","HSP90AA1"
"ASGR1","HSP90B1"
"ASGR1","TG"
"ASGR2","ASGR1"
"ATF1","GABPA"
"ATF1","GABPB1"
"ATF1","HNF1B"
"ATF1","JUN"
"ATF2","CEBPA"
"ATF2","FOS"
"ATF2","GTF2F2"
"ATF2","HMGA1"
"ATF2","JDP2"
"ATF2","RB1"
"ATF2","SMAD3"
"ATF3","CEBPG"
"ATF3","JUNB"
"ATF3","SMAD3"
"ATF4","BATF"
"ATF4","CEBPB"
"ATF4","CEBPG"
"ATF4","DDIT3"
"ATF4","GTF2F2"
"ATF4","JUN"
"ATF5","CDC34"
"ATF6","ATF6B"
"ATF7IP","AP1B1"
"ATF7IP","GTF2E2"
"ATF7IP","GTF2F1"
"ATF7IP","GTF2H1"
"ATF7IP","LUC7L2"
"ATF7IP","PAPPA2"
"ATF7IP","QRICH1"
"ATF7IP","SENP3"
"ATF7IP","SETDB1"
"ATF7IP","TTC3"
"ATG12","ATG3"
"ATG12","ATG7"
"ATG3","GABARAPL2"
"ATG3","MAP1LC3B"
"ATG9A","SRCAP"
"ATM","H2AFX"
"ATM","MDM2"
"ATM","MDM4"
"ATM","NBN"
"ATM","PRKDC"
"ATM","RAD9A"
"ATM","RBBP8"
"ATM","STK11"
"ATM","TOPBP1"
"ATM","TP53BP1"
"ATM","WRN"
"ATM","XRCC5"
"ATN1","AES"
"ATN1","AGRN"
"ATN1","CASP3"
"ATN1","CBFA2T2"
"ATN1","CENPJ"
"ATN1","CRIP2"
"ATN1","DMPK"
"ATN1","EWSR1"
"ATN1","GRN"
"ATN1","MDFI"
"ATN1","NOC2L"
"ATN1","PSMA3"
"ATN1","RBM10"
"ATN1","RCHY1"
"ATN1","RNF31"
"ATN1","SIAH2"
"ATN1","SPAG5"
"ATN1","SUMO2"
"ATN1","SYVN1"
"ATN1","TEP1"
"ATN1","TRIP6"
"ATN1","VIM"
"ATP1A1","MAPK3"
"ATP1B1","CRIP2"
"ATP1B1","GCH1"
"ATP2A2","CAMK2A"
"ATP2B1","MBIP"
"ATP2B4","RASSF1"
"ATP5A1","ATP5C1"
"ATP5A1","YWHAB"
"ATP5A1","YWHAG"
"ATP5B","ANXA7"
"ATP5B","ATP5C1"
"ATP5B","CDK4"
"ATP5B","PDPK1"
"ATP5B","PIN1"
"ATP5B","PSME3"
"ATP5B","RPP14"
"ATP5B","TK1"
"ATP5C1","CCND3"
"ATP5C1","MED15"
"ATP5J","MAPK6"
"ATP6V1A","CDKN1A"
"ATP6V1A","TK1"
"ATP6V1B1","ACTN4"
"ATP6V1E1","ALDOA"
"ATP6V1E1","SOS1"
"ATP6V1E1","XRCC6"
"ATR","CHEK1"
"ATR","MSH2"
"ATR","NBN"
"ATR","XPA"
"ATR","XRCC5"
"ATRX","EZH2"
"ATXN1","ATXN2"
"ATXN1","CCNK"
"ATXN1","DAZAP2"
"ATXN1","DCTN3"
"ATXN1","FAM46A"
"ATXN1","HPCAL1"
"ATXN1","IPO8"
"ATXN1","KLHL12"
"ATXN1","PQBP1"
"ATXN1","PSMC3"
"ATXN1","RBPMS"
"ATXN1","SPEN"
"ATXN1","TBC1D5"
"ATXN1","U2AF2"
"ATXN1","UBE2I"
"ATXN1","USP7"
"ATXN1","ZYX"
"ATXN2","ATXN1"
"ATXN3","ANXA7"
"ATXN3","PSMD7"
"ATXN7","CRX"
"AURKA","CDC20"
"AURKA","CDC25B"
"AURKA","NME1"
"AURKA","PPP1CC"
"AURKB","INCENP"
"AVPR1A","GRK5"
"AVPR2","ARRB2"
"AVPR2","C1QTNF1"
"AVPR2","GNAS"
"AXL","ADAM10"
"AXL","CBL"
"AXL","GAS6"
"AXL","IL2RG"
"AXL","PIK3R1"
"AXL","PIK3R2"
"AXL","PLCG1"
"AXL","RANBP9"
"AXL","TENC1"
"B2M","FCGRT"
"B2M","PRSS23"
"BACE1","APP"
"BACE1","ATP1B1"
"BACE1","CSNK1D"
"BACE1","PDIA3"
"BACE1","PLSCR1"
"BACE1","PSAP"
"BAD","BCL2"
"BAD","MAP2K5"
"BAD","MAPK8"
"BAD","PAK1"
"BAD","PAK7"
"BAD","PPP1CA"
"BAD","RPS6KA1"
"BAD","SFN"
"BAD","WASF1"
"BAD","YWHAG"
"BAD","YWHAH"
"BAD","YWHAQ"
"BAG1","PPP1R15A"
"BAG1","PSMD1"
"BAG1","RB1"
"BAG1","SIAH1"
"BAG3","BCL2"
"BAG3","DAZAP2"
"BAG3","HSPA1A"
"BAG4","HSPA1A"
"BAHD1","DVL3"
"BAHD1","MDFI"
"BAI1","BAIAP2"
"BAI1","DLG4"
"BAI2","HDHD2"
"BAIAP2","ATN1"
"BAIAP2","NCKIPSD"
"BARD1","BRD7"
"BARD1","KBTBD7"
"BARD1","MDC1"
"BARD1","MSH2"
"BARD1","RBBP8"
"BARD1","SETDB1"
"BARD1","TCERG1"
"BAX","BCL2L1"
"BAX","ERN1"
"BAX","MCL1"
"BAX","MOAP1"
"BAX","NOL3"
"BAX","SFN"
"BAX","SH3GLB1"
"BAX","VDAC1"
"BCAP31","BCL2"
"BCAP31","CASP1"
"BCAP31","CASP3"
"BCAR1","CD2AP"
"BCAR1","DOCK1"
"BCAR1","EFS"
"BCAR1","PKD1"
"BCAR1","PPP1R15A"
"BCAR1","TRIP6"
"BCAR1","VPS11"
"BCCIP","CDKN1A"
"BCL10","AKT1"
"BCL10","CARD11"
"BCL10","CARD14"
"BCL10","CARD9"
"BCL10","MALT1"
"BCL10","PELI2"
"BCL10","RIPK2"
"BCL2","CYCS"
"BCL2","MAPK1"
"BCL2","MAPK11"
"BCL2","MAPK3"
"BCL2","MAPK8"
"BCL2","PIN1"
"BCL2","PPP2CA"
"BCL2","RAD9A"
"BCL2","SF1"
"BCL2","SOD1"
"BCL2","TOMM20"
"BCL2L1","AVEN"
"BCL2L1","GLOD4"
"BCL2L1","PPP1CA"
"BCL2L11","MAPK10"
"BCL2L11","MAPK9"
"BCL3","COPS5"
"BCL3","GTF2B"
"BCL3","HDAC1"
"BCL3","HDAC3"
"BCL3","NCOA1"
"BCL6","EP300"
"BCL6","IRF4"
"BCL6","JUNB"
"BCL6","NCOR1"
"BCL6","NCOR2"
"BCL6","ZBTB7A"
"BCOR","HDAC1"
"BCR","MAP4K5"
"BCR","UNC119"
"BCR","YWHAH"
"BCR","YWHAQ"
"BDKRB2","ADRBK2"
"BDKRB2","GRK5"
"BDKRB2","GRK6"
"BDKRB2","NOS3"
"BEGAIN","BAHD1"
"BEGAIN","FAM107A"
"BEGAIN","RBL1"
"BEND7","EMD"
"BEND7","NIF3L1"
"BEND7","PSMF1"
"BEND7","U2AF2"
"BGN","COL4A2"
"BHLHE40","ARNTL"
"BHLHE40","BHLHE41"
"BHLHE40","SETDB1"
"BICD2","NEK9"
"BICD2","RAB6A"
"BID","CASP10"
"BID","CSNK2A1"
"BID","CSNK2A2"
"BID","CSNK2B"
"BID","PLEKHM1"
"BIN1","ATXN2"
"BIN1","DNM1"
"BIN1","DNM2"
"BIN1","RIN3"
"BIRC2","CASP3"
"BIRC2","CASP9"
"BIRC2","FBXO7"
"BIRC2","GSPT1"
"BIRC2","HTRA2"
"BIRC2","IKBKG"
"BIRC2","JUP"
"BIRC2","MAGEA11"
"BIRC2","TRADD"
"BIRC2","UBB"
"BIRC3","PDPK1"
"BIRC5","AURKB"
"BIRC5","CDK4"
"BIRC5","INCENP"
"BIRC6","DIABLO"
"BIRC7","CASP7"
"BLK","BCAS2"
"BLK","FCGR2B"
"BLK","UBE3A"
"BLM","WRN"
"BLNK","BANP"
"BLNK","NAP1L1"
"BLNK","SH3KBP1"
"BLNK","YWHAZ"
"BLOC1S2","BLOC1S1"
"BMP1","COL5A1"
"BMP1","COL7A1"
"BMP1","HSPG2"
"BMP1","LAMA3"
"BMP1","LAMB3"
"BMP2","BMPR2"
"BMP4","BMPR2"
"BMP4","NOG"
"BMP4","STAP2"
"BMP4","ZFYVE9"
"BMP7","NOG"
"BMPR1B","BMPR2"
"BMPR1B","CHN1"
"BMPR1B","FANCL"
"BMPR1B","GDF9"
"BMPR1B","PLEKHB1"
"BMPR1B","RAB25"
"BMPR1B","RASL12"
"BMPR1B","SOCS6"
"BMPR1B","STUB1"
"BMPR1B","UBA52"
"BMPR2","LSM10"
"BMPR2","MAP3K8"
"BMPR2","NOP56"
"BMPR2","PDZRN3"
"BMPR2","PMPCA"
"BMPR2","TOPBP1"
"BMPR2","TUBB"
"BMX","ITK"
"BMX","PTK2"
"BNIP3","BCL2"
"BNIP3","BCL2L1"
"BNIP3L","BCL2"
"BNIP3L","EWSR1"
"BNIP3L","STEAP3"
"BRAF","YWHAH"
"BRAF","YWHAQ"
"BRAP","CENPF"
"BRCA1","AR"
"BRCA1","BRCA2"
"BRCA1","BRCC3"
"BRCA1","BRIP1"
"BRCA1","CCNA2"
"BRCA1","CDK2"
"BRCA1","CDK7"
"BRCA1","CREB1"
"BRCA1","CTBP1"
"BRCA1","CTBP2"
"BRCA1","DCLRE1C"
"BRCA1","DHX9"
"BRCA1","E2F1"
"BRCA1","ELK1"
"BRCA1","EP300"
"BRCA1","FAM175A"
"BRCA1","GFI1B"
"BRCA1","HDAC1"
"BRCA1","HDAC2"
"BRCA1","IFI16"
"BRCA1","JUND"
"BRCA1","KPNA2"
"BRCA1","LMO4"
"BRCA1","MED1"
"BRCA1","MED21"
"BRCA1","MLH1"
"BRCA1","MNAT1"
"BRCA1","MSH2"
"BRCA1","NBN"
"BRCA1","NFKB1"
"BRCA1","NMI"
"BRCA1","NUFIP1"
"BRCA1","RAD51"
"BRCA1","RB1"
"BRCA1","RBBP4"
"BRCA1","RBBP8"
"BRCA1","RELA"
"BRCA1","SMAD3"
"BRCA1","TP53BP1"
"BRCA1","USF2"
"BRCA1","XRCC1"
"BRCA1","YY1"
"BRCA1","ZNF350"
"BRCA2","BCCIP"
"BRCA2","RAD51"
"BRCC3","SNAPC5"
"BRD4","RFC1"
"BRD7","BTBD2"
"BRD7","HAP1"
"BRD7","HIST3H3"
"BRD8","TRRAP"
"BRF1","GTF3C3"
"BRF1","GTF3C4"
"BRF1","GTF3C5"
"BRF1","RBL1"
"BRF1","RBL2"
"BRMS1","HDAC2"
"BRMS1","RBBP4"
"BRMS1","SAP30"
"BRSK1","CDC25B"
"BSG","SLC2A4"
"BTBD1","TRIM5"
"BTBD10","ACIN1"
"BTBD2","BRD7"
"BTBD2","SETDB1"
"BTBD2","TLE1"
"BTBD2","TRIM5"
"BTC","EGFR"
"BTG1","CNOT8"
"BTG2","CNOT8"
"BTG3","CNOT8"
"BTK","BLNK"
"BTK","BMX"
"BTK","CBL"
"BTK","CBX1"
"BTK","DAPP1"
"BTK","DDX5"
"BTK","EEF1A2"
"BTK","EWSR1"
"BTK","FAS"
"BTK","GNG2"
"BTK","HCK"
"BTK","ITK"
"BTK","KIT"
"BTK","MAN2B1"
"BTK","MYD88"
"BTK","PIP4K2A"
"BTK","PIP5K1A"
"BTK","PLCG2"
"BTK","PRKCA"
"BTK","PRKCB"
"BTK","PRKCE"
"BTK","PRKCQ"
"BTK","PRKCZ"
"BTK","PRKD1"
"BTK","SH2B2"
"BTK","SH3BP5"
"BTK","SYK"
"BTK","TEC"
"BTK","TLR4"
"BTK","TUBA1A"
"BTK","VAV1"
"BTK","WAS"
"BTLA","TNFRSF14"
"BTRC","CDC34"
"BTRC","CUL1"
"BTRC","HNRNPU"
"BTRC","SKP1"
"BTRC","SUFU"
"BTRC","TRIM9"
"BTRC","UBE2R2"
"BTRC","YAP1"
"BUB1","AP3B1"
"BUB1","APC"
"BUB1","BUB3"
"BUB1","CDC20"
