"cause","effect"
"ADRA1B","EZR"
"ADRA1B","FLNC"
"ADRA1B","PRKCA"
"ADRA1D","ADRA1A"
"ADRA1D","SNTA1"
"ADRA1D","SNTB2"
"ADRA2A","EIF2B1"
"ADRA2A","GNAI2"
"ADRA2A","PRKCD"
"ADRA2A","YWHAZ"
"ADRA2B","GNAI2"
"ADRA2B","YWHAZ"
"ADRA2C","GNAO1"
"ADRB1","ADRA2A"
"ADRB1","ARRB1"
"ADRB1","DLG4"
"ADRB1","DLGAP2"
"ADRB1","GRB2"
"ADRB1","SH3GL2"
"ADRB2","ARR3"
"ADRB2","GRB2"
"ADRB2","GRK6"
"ADRB2","PRKCD"
"ADRBK2","GIT1"
"AES","HMGB1"
"AES","MED31"
"AFAP1","PRKCB"
"AFAP1","PRKCD"
"AFF1","MLLT1"
"AFF1","MLLT3"
"AFG3L2","PHC2"
"AFTPH","UBE3A"
"AGGF1","CCDC85B"
"AGK","PDLIM1"
"AGRP","MC4R"
"AGT","EWSR1"
"AGT","PRG2"
"AGTR1","ARRB1"
"AGTR1","ARRB2"
"AGTR1","EGFR"
"AGTR1","HRAS"
"AGTR1","NOS3"
"AGTR1","PLCG1"
"AGTR1","RAB5A"
"AGTR1","THOP1"
"AHNAK","CDKN2A"
"AHR","ARNT"
"AHR","GTF2F2"
"AHR","NCOA2"
"AHR","NCOR2"
"AHR","RB1"
"AIF1","LCP1"
"AIFM1","WWC1"
"AIP","TOMM20"
"AKAP1","PPP1CA"
"AKAP1","PRKAR2B"
"AKAP10","PRKAR2A"
"AKAP10","PRKAR2B"
"AKAP10","VASP"
"AKAP13","CTNNAL1"
"AKAP13","YWHAZ"
"AKAP3","PRKAR2A"
"AKAP5","GABRB3"
"AKAP7","PRKAR2A"
"AKAP8","CCND1"
"AKAP8","MCM2"
"AKAP8L","DHX9"
"AKAP8L","KPNB1"
"AKAP9","CSNK1D"
"AKAP9","PPP2R3A"
"AKIRIN2","CCDC85B"
"AKT1","AKT1S1"
"AKT1","ATXN1"
"AKT1","CAMKK1"
"AKT1","CASP3"
"AKT1","CDKN1B"
"AKT1","CHEK1"
"AKT1","CHUK"
"AKT1","DCTN1"
"AKT1","EIF4EBP1"
"AKT1","GSK3A"
"AKT1","HTT"
"AKT1","IKBKB"
"AKT1","MAP3K11"
"AKT1","MAPKAPK2"
"AKT1","PAK1"
"AKT1","PDK2"
"AKT1","PEA15"
"AKT1","PKN2"
"AKT1","PPP2CA"
"AKT1","PTEN"
"AKT1","RAB3D"
"AKT1","RAF1"
"AKT1","RPS6KB1"
"AKT1","TERT"
"AKT1","TRIB3"
"AKT1","TSC1"
"AKT1","TSC2"
"AKT1S1","TCEA2"
"AKT2","AKT1"
"AKT2","AKT1S1"
"AKT2","BCL2A1"
"AKT2","CHUK"
"AKT2","HSP90AA1"
"AKT2","PDPK1"
"AKT2","RAB3D"
"AKT2","TRIB3"
"AKT2","TSC2"
"AKTIP","GTF3C1"
"ALDOA","DYNLL1"
"ALDOA","PDPK1"
"ALDOA","XRN1"
"ALDOB","HSPA8"
"ALK","PTN"
"ALK","SHC1"
"ALX1","ALX4"
"AMBP","A2M"
"AMFR","GPI"
"AMFR","TOM1L1"
"AMFR","UBE2G2"
"AMFR","VCP"
"AMHR2","AMH"
"AMHR2","BMPR1B"
"AMOTL2","MAD1L1"
"AMOTL2","MAGOHB"
"AMPH","CDK5"
"AMPH","CDK5R1"
"AMPH","SH3GL2"
"AMPH","SYN1"
"ANAPC10","CDC27"
"ANAPC5","CDC27"
"ANAPC5","SMURF1"
"ANG","ACTN2"
"ANGPT2","ANXA7"
"ANGPT2","CSNK2B"
"ANGPTL1","TEK"
"ANK1","CD44"
"ANK1","EPB42"
"ANK1","SLC4A1"
"ANKS4B","TRAF1"
"ANP32A","SET"
"ANXA1","CCT7"
"ANXA1","COPS6"
"ANXA1","GAPDH"
"ANXA1","PRKCI"
"ANXA1","XRCC6"
"ANXA11","S100A6"
"ANXA2","S100A10"
"ANXA2","S100A4"
"ANXA5","SUPT4H1"
"ANXA7","CCDC90B"
"ANXA7","CDK4"
"ANXA7","COPS6"
"ANXA7","CPSF3L"
"ANXA7","FBN3"
"ANXA7","MED31"
"ANXA7","MSH2"
"ANXA7","OTUB1"
"ANXA7","PDHB"
"ANXA7","PLD3"
"ANXA7","RBBP4"
"ANXA7","TLE1"
"ANXA7","USP4"
"ANXA7","WDR73"
"AP1B1","AP1G1"
"AP1B1","ATM"
"AP1G1","SYP"
"AP1M1","AP2B1"
"AP1M1","EHD2"
"AP1M1","GAK"
"AP1M1","HNRNPC"
"AP1M1","LAMP1"
"AP1M1","RUNDC3A"
"AP1M1","VAMP4"
"AP1M2","AP1B1"
"AP1M2","AP1G1"
"AP1M2","AP1S1"
"AP1S2","AP1G2"
"AP2A1","EPN1"
"AP2A1","HIP1"
"AP2A1","PICALM"
"AP2A1","RIT1"
"AP2A1","SYT3"
"AP2B1","AP2M1"
"AP2B1","HIP1"
"AP2B1","MLH1"
"AP2B1","NECAP2"
"AP2B1","NUP54"
"AP2B1","TERF2IP"
"AP2M1","DCX"
"AP2M1","RTDR1"
"AP3B1","ARF1"
"AP3B1","CLTC"
"AP3B1","XPOT"
"AP4M1","ARF1"
"AP4M1","GRID2"
"APAF1","HSPA1A"
"APAF1","NLRP1"
"APBA1","CCS"
"APBA1","NOTCH1"
"APBA2","CLSTN1"
"APBA2","STXBP1"
"APBB2","SMURF1"
"APCS","COL4A1"
"APCS","CRP"
"APCS","GOT2"
"APEX1","ANP32A"
"APEX1","EP300"
"APEX1","HDAC1"
"APEX1","HMGB2"
"APEX1","PCNA"
"APEX1","SET"
"APEX2","CALCOCO2"
"APEX2","EFEMP2"
"APLP1","SETDB1"
"APOA1","APOA1BP"
"APOA1","CETP"
"APOA1","HPR"
"APOA1","PDE1A"
"APOE","APP"
"APOE","LRP1"
"APP","ABL1"
"APP","APBB1"
"APP","APBB2"
"APP","BACE1"
"APP","BGN"
"APP","BLMH"
"APP","CASP3"
"APP","CAV1"
"APP","CDK5"
"APP","COL4A2"
"APP","FBLN1"
"APP","FLOT1"
"APP","GAPDH"
"APP","NF1"
"APP","NID1"
"APP","NUMB"
"APP","SERPINA3"
"APP","TP53BP2"
"APPBP2","CHMP5"
"APPBP2","EID3"
"APPBP2","MFSD3"
"APPL1","AKT2"
"APPL1","RBBP7"
"APTX","MAPKBP1"
"APTX","XRCC4"
"AQP1","CCDC85B"
"AQP1","TRIP6"
"AR","ATF2"
"AR","CCNH"
"AR","EP300"
"AR","FOXA1"
"AR","HDAC1"
"AR","MYBBP1A"
"AR","NCOA3"
"AR","NR0B1"
"AR","RELA"
"AR","TMF1"
"AR","UBE3A"
"ARAP1","ARPC3"
"ARAP1","XRCC6"
"AREG","UBQLN4"
"ARF1","AP1B1"
"ARF1","ARFGAP1"
"ARF1","ARFIP1"
"ARF1","ARFIP2"
"ARF1","ARHGAP21"
"ARF1","COPB1"
"ARF1","COPE"
"ARF1","CYTH1"
"ARF1","CYTH2"
"ARF1","INSR"
"ARF1","MDM4"
"ARF1","NPM1"
"ARF1","PICK1"
"ARF1","PLD1"
"ARF1","RALA"
"ARF1","TMED2"
"ARF1","WBP11"
"ARFGAP1","CSNK1D"
"ARFGEF2","ARFGEF1"
"ARFIP2","CHUK"
"ARHGAP1","BNIP2"
"ARHGAP1","BNIPL"
"ARHGAP1","EPB41L1"
"ARHGAP1","HMGCR"
"ARHGAP1","HSP90AB1"
"ARHGAP1","ITPR1"
"ARHGAP1","KIF1B"
"ARHGAP1","PIK3R1"
"ARHGAP1","RASA1"
"ARHGAP1","RHOA"
"ARHGAP1","SRC"
"ARHGAP1","WAS"
"ARHGAP15","SMURF1"
"ARHGAP15","TGFBR1"
"ARHGAP5","PTPN18"
"ARHGAP5","RASA1"
"ARHGDIA","TRIM13"
"ARHGDIB","RAC2"
"ARHGDIB","RHOH"
"ARHGEF1","CSNK1E"
"ARHGEF1","IVNS1ABP"
"ARHGEF11","GNA13"
"ARHGEF11","PLXNB3"
"ARHGEF12","CD44"
"ARHGEF12","GNA12"
"ARHGEF15","C11orf49"
"ARHGEF18","RHOA"
"ARHGEF2","RRAS2"
"ARHGEF6","PAK3"
"ARHGEF6","TGFBR1"
"ARHGEF7","ARHGEF6"
"ARHGEF7","PPM1F"
"ARID1A","MLLT1"
"ARID1B","SMARCA4"
"ARID3A","UBE2E3"
"ARID4A","HDAC2"
"ARID4A","SIN3A"
"ARL15","CCDC90B"
"ARL15","TUBB2B"
"ARL2","UNC119"
"ARL3","TLE1"
"ARL4D","TLE1"
"ARL5A","CBX1"
"ARL5A","CBX5"
"ARL6IP1","FXR2"
"ARNT","AHR"
"ARNT","ARNT2"
"ARNT","EP300"
"ARNT","EPAS1"
"ARNT","GTF2F2"
"ARNT","HEY1"
"ARNT","HEY2"
"ARNT","HIF1A"
"ARNT","NCOA1"
"ARNT","NCOA2"
"ARNT","SIM1"
"ARNT2","ARNT"
"ARNTL","NPAS2"
"ARNTL","PER3"
"ARPC1B","ACTB"
"ARPC3","EFTUD2"
"ARPC4","RNF130"
"ARPC5","MAPKAPK2"
"ARRB1","AP1B1"
"ARRB1","CD2AP"
"ARRB1","CHUK"
"ARRB1","GNMT"
"ARRB1","GNPAT"
"ARRB1","HAX1"
"ARRB1","HNRNPA1"
"ARRB1","PTHLH"
"ARRB1","TOP2A"
"ARRB2","AP2B1"
"ARRB2","CLTC"
"ARRB2","FLNA"
"ARRB2","MAP3K5"
"ARRB2","PDE4D"
"ARRB2","STC2"
"ASCC2","ELAC2"
"ASCC2","GTF3C1"
"ASCC2","SNRPB"
"ASCC2","SNW1"
"ASCC2","TBC1D17"
"ASGR1","HSP90AA1"
"ASGR1","TG"
"ASGR2","ASGR1"
"ASGR2","F8"
"ATF1","CREBBP"
"ATF1","GABPA"
"ATF1","GABPB1"
"ATF1","JUN"
"ATF2","AR"
"ATF2","CEBPA"
"ATF2","FOS"
"ATF2","GTF2F2"
"ATF2","RB1"
"ATF2","SMAD3"
"ATF2","UBE2I"
"ATF3","CEBPG"
"ATF3","DDIT3"
"ATF3","JUN"
"ATF3","NFKB1"
"ATF4","CEBPB"
"ATF4","DDIT3"
"ATF4","GPS2"
"ATF4","HLF"
"ATF4","NFE2L2"
"ATF7IP","ACTB"
"ATF7IP","CEP250"
"ATF7IP","GTF2H1"
"ATF7IP","LAMA4"
"ATF7IP","PCDH1"
"ATF7IP","POLR2C"
"ATF7IP","POLR2G"
"ATF7IP","PSG3"
"ATF7IP","QRICH1"
"ATF7IP","SETDB1"
"ATF7IP","SPTBN1"
"ATG12","ATG3"
"ATG3","GABARAPL2"
"ATG3","MAP1LC3B"
"ATG9A","SRCAP"
"ATM","CHEK1"
"ATM","EIF4EBP1"
"ATM","H2AFX"
"ATM","MDC1"
"ATM","MDM4"
"ATM","MRE11A"
"ATM","NBN"
"ATM","RAD17"
"ATM","RAD9A"
"ATM","RBBP8"
"ATM","STK11"
"ATM","TOPBP1"
"ATM","TP53BP1"
"ATM","WRN"
"ATM","XPA"
"ATM","XRCC5"
"ATN1","AES"
"ATN1","AGRN"
"ATN1","CASP3"
"ATN1","CBFA2T2"
"ATN1","CENPJ"
"ATN1","CRIP2"
"ATN1","DMPK"
"ATN1","EWSR1"
"ATN1","GCC1"
"ATN1","GRN"
"ATN1","NELL2"
"ATN1","NOC2L"
"ATN1","PSMA3"
"ATN1","RAD54L2"
"ATN1","RBM10"
"ATN1","RNF31"
"ATN1","SPAG5"
"ATN1","SUMO2"
"ATN1","SYVN1"
"ATN1","TEP1"
"ATN1","TLE1"
"ATN1","USP54"
"ATN1","WDR5"
"ATN1","WWP1"
"ATP1A1","CFL1"
"ATP1B1","PSME1"
"ATP2B1","CSE1L"
"ATP2B1","MBIP"
"ATP5A1","ATP5C1"
"ATP5A1","YWHAB"
"ATP5B","ANXA7"
"ATP5B","ATP5C1"
"ATP5B","PIN1"
"ATP5B","PSME3"
"ATP5B","RPP14"
"ATP5B","YWHAG"
"ATP5C1","CCND3"
"ATP5C1","MED15"
"ATP5C1","PNO1"
"ATP5J","MAPK6"
"ATP5J2","HAP1"
"ATP6V1A","ANXA7"
"ATP6V1A","TK1"
"ATP6V1B1","ACTN4"
"ATP6V1E1","ALDOA"
"ATP6V1E1","ALDOB"
"ATP6V1E1","SOS1"
"ATP6V1E1","XRCC6"
"ATPIF1","CHD3"
"ATR","CHEK1"
"ATR","MSH2"
"ATR","NBN"
"ATR","XPA"
"ATR","XRCC5"
"ATRX","EZH2"
"ATRX","ZNF512B"
"ATXN1","CCNK"
"ATXN1","CDK6"
"ATXN1","DCTN3"
"ATXN1","KLHL8"
"ATXN1","LDB1"
"ATXN1","RBPMS"
"ATXN1","RCN1"
"ATXN1","SPEN"
"ATXN1","TRIM32"
"ATXN1","USP7"
"ATXN2","ZNRD1"
"ATXN3","ANXA7"
"ATXN3","MKNK1"
"ATXN3","RAD23B"
"ATXN3","TK1"
"ATXN7","TP53BP2"
"AUP1","RNF11"
"AURKA","CDC20"
"AURKA","CDC25B"
"AURKA","NME1"
"AURKA","PPP1CA"
"AURKA","PPP1CC"
"AURKB","HIST1H3A"
"AURKB","INCENP"
"AURKB","TACC1"
"AVPR1B","GRK5"
"AVPR2","C1QTNF1"
"AVPR2","GNAS"
"AXIN2","CSNK1E"
"AXL","CBL"
"AXL","GAS6"
"AXL","PIK3R1"
"AXL","PIK3R2"
"AXL","PLCG1"
"AXL","PTPN11"
"AXL","RANBP9"
"AXL","SHC1"
"AXL","SHC3"
"AXL","TENC1"
"B2M","FCGRT"
"B2M","PRSS23"
"BACE1","APP"
"BACE1","ATP1B1"
"BACE1","PLSCR1"
"BACE1","PSAP"
"BAD","EWSR1"
"BAD","MAP2K5"
"BAD","MAPK8"
"BAD","PPP1CA"
"BAD","RPS6KA1"
"BAD","YWHAG"
"BAG1","RB1"
"BAG2","MAPKAPK2"
"BAG3","BCL2"
"BAG3","DAZAP2"
"BAG3","HSPA1A"
"BAG4","AKAP8"
"BAG4","BCL2"
"BAG4","HSPA1A"
"BAHD1","DVL3"
"BAHD1","MEGF10"
"BAI1","BAIAP2"
"BAI1","DLG4"
"BAI2","HDHD2"
"BAI2","STARD13"
"BAIAP2","ATN1"
"BAIAP2","DIAPH1"
"BAIAP2","NCKIPSD"
"BAIAP2","YWHAG"
"BANP","BTG3"
"BARD1","CHD3"
"BARD1","ING5"
"BARD1","MSH2"
"BARD1","PIAS4"
"BARD1","POLR2A"
"BARD1","RBBP8"
"BARD1","SETDB1"
"BATF","SNAPC5"
"BAX","BCL2L1"
"BAX","BID"
"BAX","ERN1"
"BAX","NOL3"
"BAX","PMAIP1"
"BAX","SFN"
"BAX","SH3GLB1"
"BAX","VDAC1"
"BBS4","PCM1"
"BCAP31","CASP1"
"BCAP31","CASP3"
"BCAR1","CASP3"
"BCAR1","CD2AP"
"BCAR1","EFS"
"BCAR1","PKD1"
"BCAR1","PPP1R15A"
"BCAR1","PTPN12"
"BCCIP","FAM46A"
"BCL10","AKT1"
"BCL10","CARD11"
"BCL10","CASP9"
"BCL10","MAP3K7"
"BCL10","RIPK2"
"BCL10","SOCS3"
"BCL2","BCL2L1"
"BCL2","CDK2"
"BCL2","HSPA1A"
"BCL2","MAPK1"
"BCL2","MAPK11"
"BCL2","MAPK3"
"BCL2","PIN1"
"BCL2","PPP1CA"
"BCL2","RAD9A"
"BCL2","TP53BP2"
"BCL2A1","BID"
"BCL2L1","FBP1"
"BCL2L1","HRK"
"BCL2L1","TLE1"
"BCL2L1","TMBIM6"
"BCL2L1","TP53BP2"
"BCL2L11","BCL2"
"BCL3","COPS5"
"BCL3","CREBBP"
"BCL3","HDAC1"
"BCL3","NFKB2"
"BCL3","RXRA"
"BCL3","TBP"
"BCL6","BCL6B"
"BCL6","NCOR1"
"BCL6","NCOR2"
"BCL6","ZBTB7A"
"BCR","IGSF21"
"BCR","MAP4K5"
"BCR","SFN"
"BCR","YWHAE"
"BCR","YWHAG"
"BCR","YWHAH"
"BCR","YWHAQ"
"BDKRB2","ADRBK2"
"BDKRB2","GRK4"
"BDKRB2","NOS1"
"BDKRB2","NOS3"
"BDNF","CPE"
"BDNF","MBTPS1"
"BDNF","NOS3"
"BDP1","RB1"
"BECN1","BCL2L1"
"BECN1","PIK3R2"
"BEGAIN","RBL1"
"BEGAIN","TRIM27"
"BEND5","CTNNBIP1"
"BEND7","NIF3L1"
"BGN","COL4A2"
"BHLHE40","SETDB1"
"BICD2","DCTN1"
"BID","CASP10"
"BID","CSNK2A1"
"BID","CSNK2A2"
"BID","FBN3"
"BID","PLEKHM1"
"BID","SETDB1"
"BID","TLE1"
"BIN1","RIN3"
"BIRC2","CASP3"
"BIRC2","GSPT1"
"BIRC2","IKBKG"
"BIRC2","JUP"
"BIRC2","TRAF1"
"BIRC2","UBB"
"BIRC3","CASP9"
"BIRC3","DIABLO"
"BIRC3","GSPT1"
"BIRC5","AURKB"
"BIRC5","CDK4"
"BIRC6","DIABLO"
"BIRC7","DIABLO"
"BLK","BCAS2"
"BLK","BCL2"
"BLM","SUMO2"
"BLM","WRN"
"BLNK","CBLB"
"BLNK","SH3KBP1"
"BLNK","TPI1"
"BLOC1S2","BLOC1S1"
"BMP1","CHRD"
"BMP1","COL1A1"
"BMP1","COL5A1"
"BMP1","COL7A1"
"BMP1","HSPG2"
"BMP3","COL4A2"
"BMP4","GREM2"
"BMP4","STAP2"
"BMPR1B","BMP7"
"BMPR1B","GDF9"
"BMPR1B","NKIRAS1"
"BMPR1B","OXSR1"
"BMPR1B","PAK1"
"BMPR1B","PLEKHB1"
"BMPR1B","RAB25"
"BMPR1B","RRAS2"
"BMPR1B","SH3KBP1"
"BMPR1B","SQSTM1"
"BMPR1B","SRGAP1"
"BMPR1B","STK35"
"BMPR1B","UBXN1"
"BMPR2","BMP6"
"BMPR2","CTBP1"
"BMPR2","LSM10"
"BMPR2","MAP3K8"
"BMPR2","MAPK8"
"BMPR2","TOPBP1"
"BMX","ITK"
"BMX","PAK1"
"BMX","SRC"
"BNIP3","BCL2"
"BNIP3","NCBP1"
"BNIP3L","BNIP3"
"BNIP3L","EWSR1"
"BNIP3L","FCER1G"
"BNIP3L","GNB5"
"BNIP3L","STEAP3"
"BRAF","MAPK1"
"BRAF","YWHAQ"
"BRCA1","BRCA2"
"BRCA1","BRCC3"
"BRCA1","BRIP1"
"BRCA1","CCNA1"
"BRCA1","CCNA2"
"BRCA1","CCND1"
"BRCA1","CDK7"
"BRCA1","CREB1"
"BRCA1","CREBBP"
"BRCA1","CTBP1"
"BRCA1","CTBP2"
"BRCA1","DCLRE1C"
"BRCA1","DHX9"
"BRCA1","E2F1"
"BRCA1","ELK1"
"BRCA1","EP300"
"BRCA1","FAM175A"
"BRCA1","GFI1B"
"BRCA1","HDAC2"
"BRCA1","JUNB"
"BRCA1","JUND"
"BRCA1","KPNA2"
"BRCA1","LMO4"
"BRCA1","MED1"
"BRCA1","MED21"
"BRCA1","MLH1"
"BRCA1","MNAT1"
"BRCA1","MSH2"
"BRCA1","NBN"
"BRCA1","NMI"
"BRCA1","POLR2K"
"BRCA1","POU2F1"
"BRCA1","RAD51"
"BRCA1","RB1"
"BRCA1","RBBP8"
"BRCA1","RELA"
"BRCA1","SMAD4"
"BRCA1","SMARCA4"
"BRCA1","TRRAP"
"BRCA1","USF2"
"BRCA1","YY1"
"BRCA1","ZNF350"
"BRCA2","FANCG"
"BRCA2","RAD51"
"BRCC3","SNAPC5"
"BRD3","BRD7"
"BRD3","MAP1LC3B"
"BRD7","BRD3"
"BRD7","BTBD2"
"BRD7","HIST3H3"
"BRD8","TRRAP"
"BRF1","GTF3C3"
"BRF1","GTF3C5"
"BRMS1","HDAC1"
"BRMS1","ING1"
"BRMS1","SAP30"
"BRSK1","CDC25C"
"BSG","PDLIM7"
"BSG","SLC2A4"
"BTBD2","BRD7"
"BTBD2","TRIM5"
"BTG1","CNOT8"
"BTG2","CNOT8"
"BTG3","CNOT8"
"BTK","ABL1"
"BTK","ACTC1"
"BTK","ALDOA"
"BTK","AP3B1"
"BTK","EEF1A2"
"BTK","EWSR1"
"BTK","GLTSCR2"
"BTK","GNG2"
"BTK","H2AFZ"
"BTK","HCK"
"BTK","IRAK1"
"BTK","ITK"
"BTK","KIT"
"BTK","MAN2B1"
"BTK","MYD88"
"BTK","PIP4K2B"
"BTK","PIP5K1C"
"BTK","PLCG1"
"BTK","PLCG2"
"BTK","PRKCA"
"BTK","PRKCB"
"BTK","PRKD1"
"BTK","SH2B2"
"BTK","SYK"
"BTK","TIRAP"
"BTK","TLR4"
"BTK","VAV1"
"BTK","WASF2"
"BTRC","CDC34"
"BTRC","DBN1"
"BTRC","UBE2D2"
"BTRC","UBE2R2"
"BUB1","AP2B1"
"BUB1","AP3B1"
"BUB1","ARIH2"
"BUB1","BUB3"
"BUB1","CDC20"
"BUB1","EIF4EBP1"
"BUB1","PLK1"
"BUB1B","BRCA2"
"BUB1B","CDC20"
"BYSL","COIL"
"C10orf10","KRT15"
"C10orf12","EHMT2"
"C10orf2","AKTIP"
"C10orf88","CLTC"
"C11orf30","CBX1"
"C11orf49","RPS3A"
"C11orf49","UBE3A"
"C11orf58","FBN3"
"C11orf68","KCNE3"
"C19orf57","C19orf25"
"C1D","TSNAX"
"C1orf174","GOLM1"
"C1orf65","CCDC85B"
"C1QA","C1QB"
"C1QA","C1R"
"C1QA","DCN"
"C1QA","FN1"
"C1QA","HIPK3"
"C1QBP","HNRNPD"
"C1QBP","MAPK3"
"C1QBP","TOP3B"
"C1QBP","YWHAB"
"C1QBP","YWHAG"
"C1QTNF1","UBQLN4"
"C2orf44","CSNK1E"
"C2orf44","CSNK1G1"
"C2orf44","MED31"
"C3","C2"
"C3","MASP1"
"C3AR1","C3"
"C5","C6"
"C5","C7"
"C5AR1","ARRB2"
"C5AR1","GNAI2"
"C5AR1","WAS"
"C6orf47","FGFR3"
"C7orf25","BRD4"
"C7orf25","CEP70"
"C7orf25","UBE2D1"
"C8orf33","FEZ1"
"C8orf33","HAP1"
"C8orf33","IMMT"
"C8orf33","MRFAP1"
"C8orf33","RASSF1"
"C8orf48","CCDC85B"
"C9orf114","CSNK2B"
"CA12","DAXX"
"CA2","DYNLL1"
"CABLES1","CCNE1"
"CABLES2","ABL1"
"CABP2","NMT1"
"CACHD1","PEBP1"
"CACHD1","XAB2"
"CACNA1A","CACNB4"
"CACNA1A","SYT1"
"CACNA1C","SRI"
"CACNG2","INADL"
"CACYBP","SIAH1"
"CACYBP","SIAH2"
"CADM1","EPB41L3"
"CADPS","DMD"
"CADPS2","DMD"
"CADPS2","MEGF10"
"CALB2","TUBA4A"
"CALCA","NRD1"
"CALCOCO2","DAZAP2"
"CALCOCO2","FASTK"
"CALCOCO2","GABARAPL2"
"CALCOCO2","PIAS4"
"CALCOCO2","TCEB3B"
"CALCR","CALM1"
"CALCR","FLNA"
"CALCR","MBL2"
"CALCRL","ADM"
"CALCRL","CALCA"
"CALCRL","RAMP1"
"CALCRL","RAMP3"
"CALD1","CALM1"
"CALD1","CALM2"
"CALD1","CALM3"
"CALM1","ATP2B1"
