"cause","effect"
"ADORA2A","CYTH2"
"ADORA2A","DRD2"
"ADORA2B","ADA"
"ADORA2B","DCC"
"ADRA1B","EZR"
"ADRA1B","PRKCA"
"ADRA1D","ADRA1A"
"ADRA1D","SNTA1"
"ADRA1D","SNTB2"
"ADRA2A","GNAI1"
"ADRA2A","GNAI2"
"ADRA2A","PRKCD"
"ADRA2B","GNAI2"
"ADRA2C","EIF2B1"
"ADRA2C","GNAO1"
"ADRA2C","YWHAZ"
"ADRB1","ADRA2A"
"ADRB1","ARRB1"
"ADRB1","GRB2"
"ADRB2","ARRB1"
"ADRB2","GRB2"
"ADRB2","GRK6"
"ADRB2","IL1B"
"ADRB2","PRKCD"
"ADRB2","SLC9A3R2"
"ADRBK2","GIT1"
"AES","GTF2E1"
"AES","HMGB1"
"AES","MED31"
"AFAP1","PRKCB"
"AFF1","MLLT1"
"AFF1","MLLT3"
"AFG3L2","PHC2"
"AFTPH","UBE3A"
"AGER","HMGB1"
"AGK","PDLIM1"
"AGRP","MC4R"
"AGTR1","ADRBK2"
"AGTR1","ARRB1"
"AGTR1","EGFR"
"AGTR1","JAK2"
"AGTR1","PLCG1"
"AGTR1","THOP1"
"AHNAK","CDKN2A"
"AHR","ARNT"
"AHR","CCNT1"
"AHR","GTF2F2"
"AHR","NCOA1"
"AHR","NCOA2"
"AHR","NCOR2"
"AHR","RB1"
"AHR","TAF7"
"AIF1","LCP1"
"AIFM1","WWC1"
"AIP","TOMM20"
"AKAP1","PPP1CA"
"AKAP10","PRKAR1A"
"AKAP10","PRKAR2A"
"AKAP10","VASP"
"AKAP13","CTNNAL1"
"AKAP13","YWHAG"
"AKAP13","YWHAZ"
"AKAP8","AES"
"AKAP8","MCM2"
"AKAP8","PRKAR2B"
"AKAP8L","DHX9"
"AKAP8L","LBR"
"AKAP9","PKN1"
"AKAP9","PPP2R3A"
"AKAP9","TACC3"
"AKIRIN2","CCDC85B"
"AKT1","AKT1S1"
"AKT1","AKTIP"
"AKT1","ATXN1"
"AKT1","BRAF"
"AKT1","CAMKK1"
"AKT1","CASP3"
"AKT1","CDKN1B"
"AKT1","CHEK1"
"AKT1","CHUK"
"AKT1","DCTN1"
"AKT1","EIF4EBP1"
"AKT1","GSK3A"
"AKT1","HTT"
"AKT1","MAP3K11"
"AKT1","MAPKAPK2"
"AKT1","METTL1"
"AKT1","PAK1"
"AKT1","PDK2"
"AKT1","PPP2CA"
"AKT1","PTEN"
"AKT1","RAB3D"
"AKT1","RPS6KB1"
"AKT1","TCL1A"
"AKT1","TRIB3"
"AKT1","TSC2"
"AKT1","YAP1"
"AKT1S1","TCEA2"
"AKT1S1","YWHAG"
"AKT2","AKT1"
"AKT2","AKT1S1"
"AKT2","BCL2A1"
"AKT2","CHUK"
"AKT2","HSP90AA1"
"AKT2","RAB3D"
"AKT2","SH3RF1"
"AKT2","TRIB3"
"AKT2","TSC2"
"AKTIP","CTBP2"
"ALAS1","CDK5"
"ALAS1","RAP1B"
"ALAS1","STAMBP"
"ALAS1","TK1"
"ALDOA","DYNLL1"
"ALDOA","PDPK1"
"ALDOA","XRN1"
"ALK","SHC1"
"AMBP","A2M"
"AMFR","GPI"
"AMFR","TOM1L1"
"AMFR","UBE2G2"
"AMH","EGFR"
"AMHR2","AMH"
"AMHR2","BMPR1B"
"AMPH","SH3GL2"
"AMPH","SYN1"
"ANAPC10","CDC27"
"ANAPC5","CDC27"
"ANAPC5","SMURF1"
"ANAPC7","AKAP1"
"ANGPT2","CSNK2B"
"ANGPTL1","TEK"
"ANK1","EPB42"
"ANK1","SLC4A1"
"ANK1","TTN"
"ANK2","NRCAM"
"ANK3","SCN2A"
"ANKRA2","HDAC4"
"ANKRD11","HDAC5"
"ANP32A","SET"
"ANTXR1","HDAC2"
"ANXA1","GAPDH"
"ANXA1","OTUB1"
"ANXA1","RPA1"
"ANXA1","TRPM7"
"ANXA11","PLSCR1"
"ANXA11","S100A6"
"ANXA13","NEDD4"
"ANXA2","CD99"
"ANXA2","PCNA"
"ANXA2","S100A10"
"ANXA2","S100A4"
"ANXA2","SRC"
"ANXA5","EED"
"ANXA5","EIF4G1"
"ANXA5","SUPT4H1"
"ANXA7","ACTL6B"
"ANXA7","CCDC90B"
"ANXA7","CDK4"
"ANXA7","COPS6"
"ANXA7","CPSF3L"
"ANXA7","DDAH2"
"ANXA7","FBN3"
"ANXA7","MED31"
"ANXA7","MSH2"
"ANXA7","PDHB"
"ANXA7","RBBP4"
"ANXA7","SETDB1"
"ANXA7","TAF5L"
"ANXA7","TLE1"
"ANXA7","UBE2D1"
"ANXA7","USP4"
"ANXA7","VIM"
"ANXA7","WDR73"
"AP1B1","ATM"
"AP1B1","KIF13A"
"AP1G1","AFTPH"
"AP1G1","RABGEF1"
"AP1M1","AP2B1"
"AP1M1","DVL2"
"AP1M1","EHD2"
"AP1M1","GAK"
"AP1M1","HNRNPC"
"AP1M1","LAMP1"
"AP1M1","RUNDC3A"
"AP1M1","VAMP4"
"AP1M2","AP1B1"
"AP1M2","AP1S1"
"AP1S2","AP1G2"
"AP2A1","BIN1"
"AP2A1","CLINT1"
"AP2A1","EPN1"
"AP2A1","PICALM"
"AP2A1","RIT1"
"AP2B1","AP2M1"
"AP2B1","HIP1"
"AP2B1","MLH1"
"AP2B1","NECAP2"
"AP2B1","NUP54"
"AP2M1","RTDR1"
"AP2M1","TBC1D5"
"AP3B1","ARF1"
"AP3B1","CLTC"
"AP3B1","CSNK1A1"
"AP3B1","XPOT"
"AP4M1","ARF1"
"AP4M1","GRID2"
"APAF1","CASP3"
"APAF1","CYCS"
"APAF1","HSPA1A"
"APAF1","NLRP1"
"APBA1","CCS"
"APBA1","KIF17"
"APBA1","NOTCH1"
"APBA1","PSEN1"
"APBA1","STX1A"
"APBA2","CLSTN1"
"APBA2","STXBP1"
"APBB1","CLSTN1"
"APBB1IP","PFN1"
"APBB1IP","VASP"
"APBB2","SMURF1"
"APCS","COL4A1"
"APCS","CRP"
"APEX1","ANP32A"
"APEX1","EP300"
"APEX1","HDAC1"
"APEX1","HMGB2"
"APEX1","PCNA"
"APEX1","SET"
"APEX2","EFEMP2"
"APEX2","TRIM37"
"APLP1","SETDB1"
"APLP1","VIM"
"APOA1","ATP5B"
"APOA1","PDE1A"
"APOA1","TTR"
"APOA1BP","MAPK6"
"APOA2","APOD"
"APOB","PPIB"
"APOB","SEC61B"
"APOBEC1","KPNA2"
"APOE","CTSB"
"APOE","MAPT"
"APOE","PLTP"
"APP","ABL1"
"APP","APBA2"
"APP","APBA3"
"APP","APBB1"
"APP","BACE1"
"APP","BLMH"
"APP","CASP6"
"APP","CAV1"
"APP","CDK5"
"APP","COL4A2"
"APP","FBLN1"
"APP","GRB2"
"APP","KLC1"
"APP","NAE1"
"APP","NID1"
"APP","NUMB"
"APP","NUMBL"
"APP","PSEN2"
"APP","TP53BP2"
"APPBP2","CHMP5"
"APPL1","AKT1"
"APPL1","AKT2"
"APPL1","PIK3CA"
"APPL1","RAB5A"
"APTX","XRCC4"
"AQP1","CCDC85B"
"AQP1","TRIP6"
"AR","AES"
"AR","ATF2"
"AR","CCNH"
"AR","CDK7"
"AR","EP300"
"AR","GTF2H1"
"AR","HDAC1"
"AR","PIAS3"
"AR","PIAS4"
"AR","POU5F1"
"AR","RB1"
"AR","RELA"
"AR","RNF4"
"AR","RUNX2"
"AR","SPDEF"
"AR","SUMO1"
"AR","TGIF1"
"AR","TRIP4"
"AR","UBE3A"
"ARAF","YWHAG"
"ARAP1","XRCC6"
"ARF1","AP1B1"
"ARF1","ARFGAP1"
"ARF1","ARFIP1"
"ARF1","ARHGAP21"
"ARF1","COPB1"
"ARF1","COPE"
"ARF1","CYTH2"
"ARF1","INSR"
"ARF1","MDM4"
"ARF1","NPM1"
"ARF1","PICK1"
"ARF1","PLD1"
"ARF1","PLD2"
"ARF1","RALA"
"ARF1","TMED2"
"ARF1","WBP11"
"ARFGAP1","CSNK1D"
"ARFGEF1","MAP2K5"
"ARFGEF2","ARFGEF1"
"ARHGAP1","BNIP2"
"ARHGAP1","EPB41L1"
"ARHGAP1","HMGCR"
"ARHGAP1","RASA1"
"ARHGAP1","RHOA"
"ARHGAP1","RHOC"
"ARHGAP1","WAS"
"ARHGAP15","SMURF1"
"ARHGAP15","TGFBR1"
"ARHGAP5","PTPN18"
"ARHGAP5","RASA1"
"ARHGAP9","RBPMS"
"ARHGDIA","TRIM13"
"ARHGDIB","EZR"
"ARHGDIB","RAC2"
"ARHGDIB","RHOA"
"ARHGDIB","RHOH"
"ARHGDIB","UFM1"
"ARHGDIB","VAV1"
"ARHGEF1","CSNK1E"
"ARHGEF11","ABCA1"
"ARHGEF11","GNA13"
"ARHGEF11","PLXNB3"
"ARHGEF12","GNA12"
"ARHGEF15","C11orf49"
"ARHGEF18","RHOA"
"ARHGEF2","PAK1"
"ARHGEF2","RRAS2"
"ARHGEF2","YWHAG"
"ARHGEF6","PAK1"
"ARHGEF6","TGFBR1"
"ARHGEF7","ARHGEF6"
"ARHGEF7","CBLB"
"ARHGEF7","GIT1"
"ARHGEF7","GIT2"
"ARHGEF7","PPM1F"
"ARID1A","MLLT1"
"ARID1B","SMARCA4"
"ARID3A","E2F1"
"ARID3A","SP100"
"ARID3A","UBE2E3"
"ARID4A","HDAC2"
"ARL15","CCDC90B"
"ARL15","TUBB2B"
"ARL2","UNC119"
"ARL3","TLE1"
"ARL4D","SMURF1"
"ARL5A","CBX5"
"ARL6IP1","FXR2"
"ARL8B","ATP5J2"
"ARMCX3","CLTC"
"ARNT","AHR"
"ARNT","ARNT2"
"ARNT","EPAS1"
"ARNT","GTF2F2"
"ARNT","HEY1"
"ARNT","HIF1A"
"ARNT","NCOA2"
"ARNT","SIM2"
"ARNT2","ARNT"
"ARNTL","CSNK1E"
"ARNTL","HIF1A"
"ARNTL","NPAS2"
"ARPC1B","ACTB"
"ARPC1B","PAK1"
"ARPC3","CDKN2B"
"ARPC3","LTA4H"
"ARPC3","MAPK6"
"ARPC4","RNF130"
"ARPC5","MAPKAPK2"
"ARR3","CAPNS1"
"ARR3","CLTC"
"ARRB1","AP1B1"
"ARRB1","BMPR2"
"ARRB1","CHUK"
"ARRB1","CSK"
"ARRB1","GNMT"
"ARRB1","PTHLH"
"ARRB1","SET"
"ARRB1","TOP2A"
"ARRB2","AP1B1"
"ARRB2","AP2B1"
"ARRB2","CHUK"
"ARRB2","DVL2"
"ARRB2","FLNA"
"ARRB2","PDE4D"
"ARRB2","RAF1"
"ASAP1","SH3KBP1"
"ASAP2","SH3KBP1"
"ASB13","TRIP13"
"ASCC2","GTF3C1"
"ASCC2","SNRPB"
"ASCC2","SNW1"
"ASCC2","TBC1D17"
"ASCC2","TRIP4"
"ASGR1","DHFR"
"ASGR1","HSP90AA1"
"ASGR1","HSP90B1"
"ASGR1","TG"
"ASGR2","ASGR1"
"ASGR2","F8"
"ASH2L","SMURF1"
"ATF1","GABPA"
"ATF1","GABPB1"
"ATF1","JUN"
"ATF2","AR"
"ATF2","CEBPA"
"ATF2","JDP2"
"ATF2","RB1"
"ATF2","UBE2I"
"ATF3","CEBPG"
"ATF3","DDIT3"
"ATF3","JUN"
"ATF3","JUNB"
"ATF3","JUND"
"ATF3","NFKB1"
"ATF4","BATF"
"ATF4","CEBPB"
"ATF4","CEBPG"
"ATF4","DDIT3"
"ATF4","GTF2F2"
"ATF4","HLF"
"ATF4","JUN"
"ATF4","LDOC1"
"ATF4","NFE2L2"
"ATF5","CDC34"
"ATF7IP","ACTB"
"ATF7IP","AP1B1"
"ATF7IP","GTF2H1"
"ATF7IP","LUC7L2"
"ATF7IP","PAPPA2"
"ATF7IP","PCDH1"
"ATF7IP","POLR2C"
"ATF7IP","QRICH1"
"ATF7IP","RPS3A"
"ATF7IP","SENP3"
"ATG3","GABARAPL2"
"ATG3","MAP1LC3B"
"ATG9A","SRCAP"
"ATM","EIF4EBP1"
"ATM","H2AFX"
"ATM","MDM2"
"ATM","MDM4"
"ATM","MRE11A"
"ATM","NBN"
"ATM","PRKDC"
"ATM","RAD9A"
"ATM","RBBP8"
"ATM","STK11"
"ATM","TOPBP1"
"ATM","TP53BP1"
"ATM","WRN"
"ATM","XPA"
"ATM","XRCC5"
"ATN1","AES"
"ATN1","AGRN"
"ATN1","CACNB1"
"ATN1","CASP3"
"ATN1","CBFA2T2"
"ATN1","CENPJ"
"ATN1","CRIP2"
"ATN1","DMPK"
"ATN1","EWSR1"
"ATN1","GRN"
"ATN1","MDFI"
"ATN1","NOC2L"
"ATN1","PSMA3"
"ATN1","RAD54L2"
"ATN1","RBM10"
"ATN1","RCHY1"
"ATN1","RNF31"
"ATN1","SIAH1"
"ATN1","SPAG5"
"ATN1","SUMO2"
"ATN1","SYVN1"
"ATN1","TEP1"
"ATN1","TLE1"
"ATN1","TRIP6"
"ATN1","USP54"
"ATN1","WDR5"
"ATP1A1","MAPK3"
"ATP1B1","CRIP2"
"ATP1B1","GCH1"
"ATP2B1","MBIP"
"ATP5A1","ATP5C1"
"ATP5A1","YWHAB"
"ATP5A1","YWHAG"
"ATP5B","ANXA7"
"ATP5B","ATP5C1"
"ATP5B","CDK4"
"ATP5B","PDPK1"
"ATP5B","PIN1"
"ATP5B","PSME3"
"ATP5B","RPP14"
"ATP5B","TK1"
"ATP5B","YWHAG"
"ATP5C1","MED15"
"ATP5C1","PNO1"
"ATP5J","MAPK6"
"ATP6V0C","MARK3"
"ATP6V1A","ANXA7"
"ATP6V1A","TK1"
"ATP6V1B1","ACTN4"
"ATP6V1E1","ALDOA"
"ATP6V1E1","SOS1"
"ATP6V1E1","XRCC6"
"ATR","CHD4"
"ATR","CHEK1"
"ATR","MSH2"
"ATR","NBN"
"ATR","XPA"
"ATR","XRCC5"
"ATRX","EZH2"
"ATXN1","ATXN2"
"ATXN1","CDK6"
"ATXN1","DCTN3"
"ATXN1","FAM46A"
"ATXN1","HPCAL1"
"ATXN1","KLHL12"
"ATXN1","KLHL8"
"ATXN1","LDB1"
"ATXN1","PQBP1"
"ATXN1","PSMC3"
"ATXN1","RBPMS"
"ATXN1","SPEN"
"ATXN1","TBC1D5"
"ATXN1","TRIM32"
"ATXN1","USP7"
"ATXN1","ZYX"
"ATXN2","ATXN1"
"ATXN3","ANXA7"
"ATXN3","CDKN1A"
"ATXN3","PSMD7"
"ATXN3","TK1"
"AURKA","CDC20"
"AURKA","CDC25B"
"AURKA","NIN"
"AURKA","NME1"
"AURKA","PPP1CC"
"AVPR1A","GRK5"
"AVPR2","C1QTNF1"
"AVPR2","GNAS"
"AXIN2","CSNK1E"
"AXL","ADAM10"
"AXL","CBL"
"AXL","GAS6"
"AXL","GRB2"
"AXL","IL2RG"
"AXL","PIK3R2"
"AXL","PLCG1"
"AXL","RANBP9"
"AXL","SHC3"
"AXL","SOCS1"
"AXL","TENC1"
"B2M","FCGRT"
"B2M","PRSS23"
"B2M","VCL"
"BACE1","APP"
"BACE1","ATP1B1"
"BACE1","CSNK1D"
"BACE1","PDIA3"
"BACE1","PLSCR1"
"BACE1","PSAP"
"BAD","BCL2L1"
"BAD","EWSR1"
"BAD","MAP2K5"
"BAD","MAPK8"
"BAD","PAK1"
"BAD","PAK7"
"BAD","PPP1CA"
"BAD","SFN"
"BAD","WASF1"
"BAD","YWHAG"
"BAD","YWHAH"
"BAD","YWHAQ"
"BAG1","PPP1R15A"
"BAG1","PSMD1"
"BAG1","SIAH1"
"BAG3","DAZAP2"
"BAG3","HSPA1A"
"BAG4","HSPA1A"
"BAHD1","DVL3"
"BAHD1","MDFI"
"BAHD1","MEGF10"
"BAI1","BAIAP2"
"BAI2","HDHD2"
"BAI2","STARD13"
"BAIAP2","ATN1"
"BAIAP2","NCKIPSD"
"BANP","BTG3"
"BARD1","CHD3"
"BARD1","IKBKAP"
"BARD1","MSH2"
"BARD1","PIAS4"
"BARD1","RBBP8"
"BARD1","SETDB1"
"BATF","SNAPC5"
"BAX","BID"
"BAX","ERN1"
"BAX","MCL1"
"BAX","NOL3"
"BAX","PMAIP1"
"BAX","SFN"
"BAX","SH3GLB1"
"BCAP31","BCL2"
"BCAP31","CASP3"
"BCAR1","CASP3"
"BCAR1","CD2AP"
"BCAR1","DOCK1"
"BCAR1","EFS"
"BCAR1","PKD1"
"BCAR1","PPP1R15A"
"BCAR1","TRIP6"
"BCL10","CARD11"
"BCL10","CARD14"
"BCL10","CARD9"
"BCL10","MALT1"
"BCL10","RIPK2"
"BCL2","BCL2L1"
"BCL2","CDK2"
"BCL2","CYCS"
"BCL2","MAPK1"
"BCL2","MAPK3"
"BCL2","PIN1"
"BCL2","PPP1CA"
"BCL2","RAD9A"
"BCL2","SF1"
"BCL2","TP53BP2"
"BCL2A1","BID"
"BCL2L1","FBP1"
"BCL2L1","GLOD4"
"BCL2L1","PPP1CA"
"BCL2L1","TLE1"
"BCL2L11","BCL2"
"BCL2L11","MAPK9"
"BCL3","COPS5"
"BCL3","GTF2B"
"BCL3","NFKB1"
"BCL3","RXRA"
"BCL6","EP300"
"BCL6","JUN"
"BCL6","JUNB"
"BCL6","NCOR1"
"BCL6","NCOR2"
"BCL6","RUNX1T1"
"BCL6","ZBTB7A"
"BCOR","HDAC1"
"BCR","ERCC3"
"BCR","MAP4K5"
"BCR","UNC119"
"BCR","YWHAB"
"BCR","YWHAH"
"BCR","YWHAQ"
"BDKRB2","ADRBK2"
"BDKRB2","NOS3"
"BDNF","CPE"
"BECN1","PIK3R2"
"BEGAIN","DTNB"
"BEGAIN","RBL1"
"BEGAIN","TRIM27"
"BEND5","CTNNBIP1"
"BEND7","NIF3L1"
"BEND7","U2AF2"
"BGN","BMP4"
"BGN","COL4A2"
"BHLHE40","BHLHE41"
"BHLHE40","SETDB1"
"BICD2","DCTN1"
"BICD2","RAB6A"
"BID","CSNK2A1"
"BID","CSNK2A2"
"BID","CSNK2B"
"BID","PLEKHM1"
"BID","SETDB1"
"BID","TLE1"
"BIN1","ABL1"
"BIN1","DNM1"
"BIN1","RIN3"
"BIRC2","CASP3"
"BIRC2","CASP9"
"BIRC2","FBXO7"
"BIRC2","GSPT1"
"BIRC2","HTRA2"
"BIRC2","IKBKG"
"BIRC2","JUP"
"BIRC2","TRADD"
"BIRC2","UBB"
"BIRC3","CASP7"
"BIRC3","CASP9"
"BIRC3","GSPT1"
"BIRC3","PDPK1"
"BIRC5","AURKB"
"BIRC5","CDK4"
"BIRC6","DIABLO"
"BLK","BCAS2"
"BLK","UBE3A"
"BLM","WRN"
"BLNK","BANP"
"BLNK","CBLB"
"BLNK","NAP1L1"
"BLNK","SH3KBP1"
"BLNK","TPI1"
"BLOC1S2","BLOC1S1"
"BMP1","CHRD"
"BMP1","COL5A1"
"BMP1","COL7A1"
"BMP1","HSPG2"
"BMP1","LAMB3"
"BMP4","GREM2"
"BMP4","NOG"
"BMPR1B","GDF9"
"BMPR1B","KLHL1"
"BMPR1B","OXSR1"
"BMPR1B","PAK1"
"BMPR1B","RASD2"
"BMPR1B","RASL12"
"BMPR1B","STK35"
"BMPR2","LSM10"
"BMPR2","MAP3K8"
"BMPR2","NOP56"
"BMPR2","PMPCA"
"BMPR2","TUBB"
"BNIP3","BCL2"
"BNIP3","BCL2L1"
"BNIP3L","EWSR1"
"BNIP3L","STEAP3"
"BRAF","YWHAH"
"BRAF","YWHAQ"
"BRAP","CENPF"
"BRCA1","AR"
"BRCA1","BRCA2"
"BRCA1","BRCC3"
"BRCA1","BRIP1"
"BRCA1","CCNA2"
"BRCA1","CDK2"
"BRCA1","CDK7"
"BRCA1","CREB1"
"BRCA1","CREBBP"
"BRCA1","CTBP1"
"BRCA1","CTBP2"
"BRCA1","DCLRE1C"
"BRCA1","DHX9"
"BRCA1","E2F1"
"BRCA1","ELK1"
"BRCA1","EP300"
"BRCA1","FAM175A"
"BRCA1","GFI1B"
"BRCA1","HDAC1"
"BRCA1","HDAC2"
"BRCA1","IFI16"
"BRCA1","JUND"
"BRCA1","KPNA2"
"BRCA1","LMO4"
"BRCA1","MED1"
"BRCA1","MED21"
"BRCA1","MLH1"
"BRCA1","MNAT1"
"BRCA1","MSH2"
"BRCA1","NBN"
"BRCA1","NFKB1"
"BRCA1","NMI"
"BRCA1","NUFIP1"
"BRCA1","POLR2K"
"BRCA1","POU2F1"
"BRCA1","RAD51"
"BRCA1","RB1"
"BRCA1","RBBP8"
"BRCA1","RELA"
"BRCA1","SMAD3"
"BRCA1","SMAD4"
"BRCA1","USF2"
"BRCA1","XRCC1"
"BRCA1","YY1"
"BRCA1","ZNF350"
"BRCA2","BCCIP"
"BRCA2","FANCG"
"BRCA2","RAD51"
"BRCC3","SNAPC5"
"BRD3","MAP1LC3B"
"BRD7","BTBD2"
"BRD7","HAP1"
"BRD7","HIST3H3"
"BRD8","TRRAP"
"BRF1","GTF3C3"
"BRF1","GTF3C4"
"BRF1","GTF3C5"
"BRF1","RBL2"
"BRMS1","RBBP4"
"BRMS1","SAP30"
"BRSK1","CDC25C"
"BSG","PDLIM7"
"BSG","SLC2A4"
"BTBD1","TRIM5"
"BTBD2","BRD7"
"BTBD2","SETDB1"
"BTBD2","TLE1"
"BTBD2","TRIM5"
"BTC","EGFR"
"BTG1","CNOT8"
"BTG2","CNOT8"
"BTG3","CNOT8"
"BTK","ABL1"
"BTK","ACTC1"
"BTK","ALDOA"
"BTK","BMX"
"BTK","CBL"
"BTK","DAPP1"
"BTK","DDX5"
"BTK","EEF1A2"
"BTK","EWSR1"
"BTK","FAS"
"BTK","GLTSCR2"
"BTK","GNG2"
"BTK","GRB2"
"BTK","HCK"
"BTK","IRAK1"
"BTK","ITK"
"BTK","KIT"
"BTK","MAN2B1"
"BTK","MYD88"
"BTK","PIP5K1A"
"BTK","PIP5K1C"
"BTK","PLCG2"
"BTK","PRKCA"
"BTK","PRKCB"
"BTK","PRKCE"
"BTK","PRKCQ"
"BTK","PRKCZ"
"BTK","PRKD1"
"BTK","SH2B2"
"BTK","SH3BP5"
"BTK","SYK"
"BTK","TEC"
"BTK","TLR4"
"BTK","TUBA1A"
"BTK","VAV1"
"BTRC","CUL1"
"BTRC","DBN1"
"BTRC","SKP1"
"BTRC","SUFU"
"BTRC","TRIM9"
"BTRC","UBE2D2"
"BTRC","UBE2R2"
"BTRC","YAP1"
"BUB1","AP2B1"
"BUB1","AP3B1"
"BUB1","BUB3"
"BUB1","CDC20"
"BUB1","EIF4EBP1"
"BUB1","PLK1"
"BUB1B","BRCA2"
"BUB1B","CDC20"
"C10orf10","KRT15"
"C10orf10","QKI"
"C10orf88","CLTC"
"C11orf49","RPS3A"
"C11orf58","FBN3"
"C11orf58","RPLP1"
"C19orf57","C19orf25"
"C1D","TSNAX"
"C1orf65","CCDC85B"
"C1orf94","USO1"
"C1QA","C1QB"
"C1QA","C1R"
"C1QA","CSPG4"
"C1QA","DCN"
"C1QBP","HNRNPD"
"C1QBP","MAPK1"
"C1QBP","YWHAB"
"C1QTNF1","SGTA"
"C1QTNF1","UBQLN4"
"C2orf44","CSNK1E"
"C2orf44","CSNK1G1"
"C2orf44","MED31"
"C2orf44","RAB35"
"C3","C2"
"C3AR1","C3"
"C5","C6"
"C5","C7"
