"ONTOLOGY","ID","Description","p.adjust","geneID","dbPEC"
"BP","GO:0048667","cell morphogenesis involved in neuron differentiation",7.52069310365924e-16,"PIK3CB/CHN1/EFNA1/EZR/TRPC6/APBB2/CXCR4/BMPR2/LINGO1/VASP/CAPRIN1/MEF2C/HSP90AA1/TRAK2/LLGL1/SEMA6A/STK11/NEDD4/SPTAN1/CELSR3/TNFRSF12A/LRP1/CREB1/RTN4R/ACTR2/NDEL1/DLG4/SHC1/ABL1/APP/ARHGDIA/CAMK2A/CDK5/CFL1/CTNND2/DISC1/DOK1/DPYSL2/FYN/GSK3B/HDAC6/ID2/MACF1/MAP1B/MAP2K1/MAPK8IP2/MINK1/NTRK1/PAK1/PAX6/PDLIM7/PRKCQ/PTK2/RAB8A/RAP2A/SHANK1/SOS1/SPTBN4/SRC/SRF/STXBP1/UBE3A/VCL/CSF1R/DNM3/ENAH/EPHA4/EPHA8/ETV1/FGFR2/GFRA1/GFRA2/GOLGA4/GPC1/LRP8/MYO7A/NGEF/NRXN1/PAX2/PLXNA3/PTPRA/PTPRO/RERE/RND2/ROBO1/RTN4/SEMA4D/SPTA1/SPTBN2/TRPC5/TWF2/USP33/XK","Yes"
"BP","GO:0071902","positive regulation of protein serine/threonine kinase activity",7.80942748796992e-16,"PIK3CB/GADD45G/CALM1/MAP3K8/CXCR4/UBB/KITLG/PTK2B/CRKL/MAPK8IP3/CCNT2/MAPK11/TRAF2/PIK3CG/C5/JAK2/CD81/TNFRSF11A/ERP29/PPP2CA/DVL2/TLR6/S1PR2/EZH2/SHC1/MADD/ARRB1/CIB1/CSK/DAZAP2/DVL3/HRAS/INSR/IRAK1/MAP2K1/MAP2K6/MAP2K7/MAP3K14/NTF3/NTRK1/PAK1/PKD1/PROX1/PTPRC/RAF1/SRC/TRAF6/ADRA2B/ALK/CCL19/CCNB1/CCNK/CDK5R2/CSF1R/DBF4/EDN3/EPHA4/FZD5/FZD8/GRM4/LPAR1/MAGED1/MAP3K10/PDCD10/PEA15/ROBO1/ROR2/STK3/TP73/UBE2N/WNT7B","Yes"
"MF","GO:0031625","ubiquitin protein ligase binding",1.55156701345775e-15,"TRAF3/CXCR4/GABARAPL2/PTK2B/BRCA1/TXNIP/TRAF2/XRCC5/HSP90AA1/ERBB3/CKB/PXN/TOLLIP/PRKAR2A/TRAF5/SUMO2/TANK/ARRB1/BAG1/BID/DLG3/GABARAP/GSK3B/HDAC6/JAK1/MAP1LC3B/MDM2/NEDD8/PAX6/PIAS4/POLR2A/PRKACA/RBX1/RPA2/SMAD3/SMAD5/SMAD6/SRC/STX8/SUMO1/TRAF1/TRAF4/TRAF6/TRIM37/TUBB/VCL/DTX1/FATE1/FHIT/FZD5/FZD6/FZD8/GPR37/LTBR/MC1R/MOAP1/MYOD1/RAD18/RNF40/RTN4/TUBA1B/UBE2N/UBE2W/USP2/ZNF746","Yes"
"BP","GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",2.52416387524255e-15,"OPRK1/HTR1F/SSTR1/PTGER2/CALCR/NPY1R/GRK5/GNAI1/DRD1/GNB1/CCR1/FLNA/GNA13/GNAI2/GNAZ/HTR1D/OPRD1/RAMP3/S1PR1/SSTR5/AVPR2/CACNA1D/CASR/DRD3/DRD5/GABBR1/GALR1/GHRHR/GPR37/GRIK3/GRM3/GRM4/GRM7/GRM8/HTR1A/HTR1B/LHCGR/LPAR1/MC1R/MC3R/MC5R/MCHR1/OPRL1/OPRM1/P2RY12/PRMT5/PTGIR/PTH1R/SSTR4/WASF2","Yes"
"BP","GO:0050878","regulation of body fluid levels",4.58336682295531e-15,"PIK3CB/OPRK1/AQP1/COL1A2/GNA14/TRPC6/F2RL1/PDGFRA/CD9/PRKCE/ITPR3/CAV1/SYTL2/FLI1/GATA1/VAV3/SFN/PRLR/VAV1/PLCG2/GNAQ/SERPING1/PRKG1/PIK3CG/ADRA2C/PLAU/SLC22A4/RCOR1/ITGA2/JAK2/MERTK/GNA15/TYRO3/FOXA2/PRKAR2A/GNB1/HNF4A/CREB1/RAB11FIP2/AKAP10/ANXA7/AP3B1/ARRB1/COL3A1/FLNA/FYN/GATA4/GNA12/GNA13/GNAI2/HDAC1/LCK/MAFK/NCOA1/NME1/PDPK1/PLG/PLSCR1/PRKACA/PRKCB/PRKCG/PRKCQ/PRTN3/PTPN6/RAF1/SRC/SRF/STXBP1/TLN1/TRPC3/VCL/ADRA2B/AVPR2/BTC/CAPZA1/CLIC1/F12/FZD6/GHRHR/H3F3B/INPP5K/MPL/NPR1/OPRL1/P2RY12/PTPRO/SCNN1G/SLC6A3/STAT5A/TFAP2B/ZFPM2","Yes"
"BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",4.99690710985394e-15,"OPRK1/HTR1F/PTGER2/CALCR/NPY1R/GRK5/GNAI1/DRD1/GNB1/FLNA/GNA13/GNAI2/GNAZ/HTR1D/OPRD1/RAMP3/S1PR1/AVPR2/CACNA1D/CASR/DRD3/DRD5/GABBR1/GALR1/GHRHR/GPR37/GRIK3/GRM3/GRM4/GRM7/GRM8/HTR1A/HTR1B/LHCGR/LPAR1/MC1R/MC3R/MC5R/MCHR1/OPRL1/OPRM1/P2RY12/PRMT5/PTGIR/PTH1R/SSTR4/WASF2","Yes"
"BP","GO:0030168","platelet activation",9.59991722339098e-15,"PIK3CB/COL1A2/GNA14/TRPC6/PDGFRA/CD9/PRKCE/ITPR3/GATA1/VAV3/VAV1/PLCG2/GNAQ/PRKG1/PIK3CG/ADRA2C/MERTK/GNA15/TYRO3/GNB1/ARRB1/COL3A1/FLNA/FYN/GNA12/GNA13/LCK/PDPK1/PLSCR1/PRKCB/PRKCG/PRKCQ/PTPN6/RAF1/SRC/SRF/STXBP1/TLN1/TRPC3/VCL/ADRA2B/CLIC1/FZD6/MPL/P2RY12","Yes"
"BP","GO:0055074","calcium ion homeostasis",9.64535696064236e-15,"PIK3CB/TRIM24/STC2/CALM1/TRPC6/F2RL1/PDGFRA/PRKCE/ITPR3/CD4/CAV1/PTK2B/PLCG2/ATP1B1/CALCR/PIK3CG/GRIN2D/KCTD17/JAK2/HMGB1/GNA15/DRD1/MYO5A/GNB1/LRP1/ANK2/DLG4/ABL1/APP/CACNA1A/CCL21/CCR1/CDK5/DISC1/DMD/FYN/FZD9/GNA13/GRM5/HAP1/HTT/LCK/PDPK1/PKD1/PRKACA/PRKCB/PTPN6/PTPRC/RAMP3/S1PR1/SLC8A1/SMAD3/TRPC3/ADCYAP1R1/AVPR1A/CACNA1D/CASR/CCL19/DRD3/DRD5/EDN3/FATE1/GALR1/HCRTR2/HTR1B/HTR2C/LPAR1/LPAR2/MCHR1/MS4A1/OPRL1/PTH1R/RASA3/SLC8A3/TFAP2B/TRPC5/XK","Yes"
"CC","GO:0030055","cell-substrate junction",1.25461870846782e-14,"MME/EZR/EPB41L2/ARPC5/JUP/DDR2/CD9/CAV1/CLTC/PTK2B/HSPG2/VASP/SLC9A3R2/SORBS3/ACTN1/PLAU/FZD1/ITGA2/PXN/LIMS1/JAK2/CD81/TES/RPL8/CAPN2/PRKAR2A/LRP1/ACTR2/TSPAN4/CDC42EP1/SDCBP/ARF1/ARPC3/BCAR1/CFL1/DMD/EFNB2/FLNA/GIT1/GNA12/GNA13/ITGA3/JAK1/MAP2K1/PAK1/PDLIM7/PDPK1/PFN1/PTK2/PTPRC/RDX/TLN1/TRIP6/VCL/YES1/YWHAG/YWHAQ/AHNAK/CAP1/CAV2/CD151/ENAH/EPHA2/FLNC/G3BP1/ITGB4/ITGB6/KIF23/MDC1/MTF2/OPRM1/PARVB/PVR/RPL6/RPLP2/USP33","Yes"
"BP","GO:0006874","cellular calcium ion homeostasis",1.49949607304858e-14,"PIK3CB/STC2/CALM1/TRPC6/F2RL1/PDGFRA/PRKCE/ITPR3/CD4/CAV1/PTK2B/PLCG2/ATP1B1/CALCR/PIK3CG/GRIN2D/KCTD17/JAK2/HMGB1/GNA15/DRD1/MYO5A/GNB1/LRP1/ANK2/DLG4/ABL1/APP/CACNA1A/CCL21/CCR1/CDK5/DISC1/DMD/FYN/FZD9/GNA13/GRM5/HAP1/HTT/LCK/PDPK1/PKD1/PRKACA/PRKCB/PTPN6/PTPRC/RAMP3/S1PR1/SLC8A1/SMAD3/TRPC3/ADCYAP1R1/AVPR1A/CACNA1D/CASR/CCL19/DRD3/DRD5/EDN3/FATE1/GALR1/HCRTR2/HTR1B/HTR2C/LPAR1/LPAR2/MCHR1/MS4A1/OPRL1/PTH1R/RASA3/SLC8A3/TRPC5/XK","Yes"
"BP","GO:0007599","hemostasis",1.71724513898199e-14,"PIK3CB/COL1A2/GNA14/TRPC6/F2RL1/PDGFRA/CD9/PRKCE/ITPR3/CAV1/FLI1/GATA1/VAV3/VAV1/PLCG2/GNAQ/SERPING1/PRKG1/PIK3CG/ADRA2C/PLAU/RCOR1/ITGA2/JAK2/MERTK/GNA15/TYRO3/FOXA2/PRKAR2A/GNB1/HNF4A/AKAP10/ANXA7/AP3B1/ARRB1/COL3A1/FLNA/FYN/GATA4/GNA12/GNA13/HDAC1/LCK/MAFK/PDPK1/PLG/PLSCR1/PRKACA/PRKCB/PRKCG/PRKCQ/PRTN3/PTPN6/RAF1/SRC/SRF/STXBP1/TLN1/TRPC3/VCL/ADRA2B/AVPR2/CAPZA1/CLIC1/F12/FZD6/H3F3B/MPL/P2RY12/ZFPM2","Yes"
"BP","GO:0051493","regulation of cytoskeleton organization",2.44244691548993e-14,"ARPC5/F2RL1/PDGFRA/EPHA3/PRKCE/PHPT1/CLIC4/BIN1/CLTC/PTK2B/PRKAA2/VASP/ARHGDIB/BRCA1/MID1IP1/MEF2C/PLXNB1/BICD2/SORBS3/PFN2/DLG1/GNAI1/CHMP2A/RASA1/PXN/SPTAN1/CAPN2/WNT4/NF2/LRP1/NCK1/ACTR2/RAE1/ARF1/ABL1/AKAP9/ARHGDIA/ARPC3/CCL21/CDK5/CDK5RAP2/CFL1/CIB1/DCTN1/EPS8/FLNA/GSK3B/HDAC6/HRAS/KAT2A/MAP1B/MECP2/NEK2/NTF3/NUMA1/PAK1/PFN1/PKD1/PLK1/PROX1/PTK2/RDX/ROCK1/S1PR1/SHANK1/SMAD3/SPTBN4/TRIM27/TRIM37/CELSR1/CHMP4C/CSF1R/ECT2/FBXW5/INPP5K/ITGB1BP1/JAM3/KIF11/LPAR1/PLXNA3/RHOQ/SPTA1/SPTBN2/TRAF3IP1/TWF2/WASF2","Yes"
"CC","GO:0005925","focal adhesion",4.50241881392981e-14,"MME/EZR/EPB41L2/ARPC5/JUP/DDR2/CD9/CAV1/CLTC/PTK2B/HSPG2/VASP/SLC9A3R2/SORBS3/ACTN1/PLAU/FZD1/ITGA2/PXN/LIMS1/JAK2/CD81/TES/RPL8/CAPN2/PRKAR2A/LRP1/ACTR2/TSPAN4/CDC42EP1/SDCBP/ARF1/ARPC3/BCAR1/CFL1/EFNB2/FLNA/GIT1/GNA12/GNA13/ITGA3/JAK1/MAP2K1/PAK1/PDLIM7/PDPK1/PFN1/PTK2/PTPRC/RDX/TLN1/TRIP6/VCL/YES1/YWHAG/YWHAQ/AHNAK/CAP1/CAV2/CD151/ENAH/EPHA2/FLNC/G3BP1/ITGB6/KIF23/MDC1/MTF2/OPRM1/PARVB/PVR/RPL6/RPLP2/USP33","Yes"
"BP","GO:0043406","positive regulation of MAP kinase activity",4.70332989562793e-14,"PIK3CB/GADD45G/MAP3K8/CXCR4/UBB/KITLG/PTK2B/CRKL/MAPK8IP3/MAPK11/TRAF2/PIK3CG/C5/JAK2/CD81/TNFRSF11A/ERP29/DVL2/TLR6/S1PR2/EZH2/SHC1/MADD/ARRB1/CSK/DVL3/HRAS/INSR/IRAK1/MAP2K1/MAP2K6/MAP2K7/MAP3K14/NTF3/NTRK1/PAK1/PTPRC/RAF1/SRC/TRAF6/ADRA2B/ALK/CCL19/EDN3/EPHA4/FZD5/FZD8/GRM4/LPAR1/MAGED1/MAP3K10/PDCD10/PEA15/ROBO1/ROR2/TP73/UBE2N/WNT7B","Yes"
"CC","GO:0005924","cell-substrate adherens junction",5.11269206216014e-14,"MME/EZR/EPB41L2/ARPC5/JUP/DDR2/CD9/CAV1/CLTC/PTK2B/HSPG2/VASP/SLC9A3R2/SORBS3/ACTN1/PLAU/FZD1/ITGA2/PXN/LIMS1/JAK2/CD81/TES/RPL8/CAPN2/PRKAR2A/LRP1/ACTR2/TSPAN4/CDC42EP1/SDCBP/ARF1/ARPC3/BCAR1/CFL1/EFNB2/FLNA/GIT1/GNA12/GNA13/ITGA3/JAK1/MAP2K1/PAK1/PDLIM7/PDPK1/PFN1/PTK2/PTPRC/RDX/TLN1/TRIP6/VCL/YES1/YWHAG/YWHAQ/AHNAK/CAP1/CAV2/CD151/ENAH/EPHA2/FLNC/G3BP1/ITGB6/KIF23/MDC1/MTF2/OPRM1/PARVB/PVR/RPL6/RPLP2/USP33","Yes"
"BP","GO:0002521","leukocyte differentiation",1.17937376276254e-13,"FZD7/CD28/PRKCZ/F2RL1/CD4/HHEX/KITLG/KLF6/SPI1/GATA1/IRF7/PTK2B/VAV1/PLCG2/MEF2C/WNT1/STK11/HMGB1/CD81/TNFRSF11A/MERTK/TYRO3/WNT4/TMEM98/CEBPB/CREB1/SATB1/ABL1/AP3B1/APP/BTK/CCR1/CD2/CD3E/CEBPE/FADD/FLT3LG/FZD9/HDAC4/HNF1A/ID2/JAK3/KAT2A/LCK/MYC/NME1/NTRK1/PRTN3/PTPN6/PTPRC/RUNX1/SOS1/SRF/TRAF6/ACIN1/CCL19/CD1D/CD27/CD80/CSF1R/DTX1/EIF2AK1/EPHA2/FOXP1/FZD5/FZD8/GAB3/IKZF3/IL18R1/IL31RA/IL7R/LILRB1/LILRB2/LTBR/LYL1/MITF/MS4A1/NF1/NFKBIZ/ONECUT1/POU2F2/PRDM1/PTPRJ/ROR2/STAT6/TFE3","Yes"
"CC","GO:0005912","adherens junction",1.2007675228648e-13,"MME/EZR/EPB41L2/ARPC5/JUP/DDR2/CD9/TJP1/CAV1/BMPR2/CLTC/PTK2B/HSPG2/VASP/SLC9A3R2/SORBS3/ACTN1/PLAU/DLG1/FZD1/ITGA2/PXN/LIMS1/JAK2/CD81/TES/RPL8/CAPN2/PRKAR2A/NF2/LRP1/ACTR2/TSPAN4/CDC42EP1/SDCBP/ARF1/ARPC3/BCAR1/CFL1/EFNB2/FLNA/GIT1/GNA12/GNA13/ITGA3/JAK1/MAP2K1/NOTCH1/PAK1/PDLIM7/PDPK1/PFN1/PTK2/PTPRC/RDX/SPTBN4/TLN1/TRIP6/VCL/YES1/YWHAG/YWHAQ/AHNAK/CAP1/CAV2/CD151/ENAH/EPHA2/FLNC/G3BP1/ITGB6/KIF23/LIN7C/MDC1/MTF2/OPRM1/PARVB/PPP1R9B/PVR/RND1/RPL6/RPLP2/S100A11/USP33","Yes"
"BP","GO:0051403","stress-activated MAPK cascade",1.28289189516938e-13,"OPRK1/GADD45G/EZR/MAP3K8/FZD7/F2RL1/UBB/PTK2B/PLCB1/CRKL/MAPK8IP3/MAPK11/TRAF2/TNIP2/DLG1/HMGB1/TNFRSF11A/DVL2/TNFRSF19/TLR6/BTRC/SDCBP/APP/CCL21/CHUK/DVL3/GPS1/HIPK3/HRAS/IGF1R/IRAK1/ITCH/MAP2K1/MAP2K7/MAPK8IP2/MINK1/MYC/NCOR1/PAK1/PRMT1/RAP2A/SIRPA/SKP1/TRAF4/TRAF6/CASR/CCL19/CD27/EDA2R/EPHA4/FZD5/FZD8/LTBR/MAP3K10/PDCD10/PRDX1/ROR2/STK3/UBE2N/WNT7B","Yes"
"BP","GO:0072503","cellular divalent inorganic cation homeostasis",1.31429557527729e-13,"PIK3CB/STC2/CALM1/TRPC6/F2RL1/PDGFRA/PRKCE/ITPR3/CD4/CAV1/PTK2B/PLCG2/ATP1B1/CALCR/PIK3CG/GRIN2D/KCTD17/JAK2/HMGB1/GNA15/DRD1/MYO5A/GNB1/LRP1/ANK2/DLG4/ABL1/APP/CACNA1A/CCL21/CCR1/CDK5/DISC1/DMD/FYN/FZD9/GNA13/GRM5/HAP1/HTT/LCK/PDPK1/PKD1/PRKACA/PRKCB/PTPN6/PTPRC/RAMP3/S1PR1/SLC8A1/SMAD3/TRPC3/ADCYAP1R1/AVPR1A/CACNA1D/CASR/CCL19/DRD3/DRD5/EDN3/FATE1/GALR1/HCRTR2/HTR1B/HTR2C/LPAR1/LPAR2/MCHR1/MS4A1/OPRL1/PTH1R/RASA3/SLC8A3/TRPC5/XK","Yes"
"BP","GO:0051480","regulation of cytosolic calcium ion concentration",1.81881459744186e-13,"CALM1/TRPC6/F2RL1/PDGFRA/PRKCE/ITPR3/CD4/CAV1/PTK2B/PLCG2/CALCR/PIK3CG/GRIN2D/JAK2/HMGB1/GNA15/DRD1/MYO5A/GNB1/LRP1/ANK2/DLG4/ABL1/CACNA1A/CCL21/CCR1/CDK5/DMD/FYN/FZD9/GNA13/GRM5/HAP1/HTT/LCK/PDPK1/PKD1/PRKACA/PTPN6/PTPRC/RAMP3/S1PR1/SLC8A1/SMAD3/TRPC3/ADCYAP1R1/AVPR1A/CACNA1D/CCL19/GALR1/HCRTR2/HTR1B/HTR2C/LPAR1/LPAR2/MCHR1/MS4A1/OPRL1/PTH1R/RASA3/SLC8A3/TRPC5","Yes"
